Юан Аберкромби
Кэти Белл
Бем
Сириус Блэк
Лаванда Браун
Ромильда Вейн
Оливер Вуд
Гермиона Грейнджер
Годрик Гриффиндор
Аберфорт Дамблдор
Альбус Дамблдор
Фэй Данбар
Анджелина Джонсон
Ли Джордан
Даммара Доддеридж
Элфиас Дож
Невилл Долгопупс
Эндрю Керк
Джэ Ким
Бен Коппер
Анджелика Коул
Деннис Криви
Колин Криви
Малдун Крэгг
Ричи Кут
К продолжение
Сэр Кэдоган
Римус Люпин
Минерва Макгонагалл
Натали МакДональд
Мэри МакДональд
Кормак Маклагген
Элоиза Миджен
Николас де Мимси-Дельфингтон
Валерия Мириадд
Ангус Мэтлок
Риона О'Нил
Урик Оупли
Парвати Патил
Питер Петтигрю
Джимми Пикс
Подрик Пилс
Полная Дама
Гарри Поттер
Джеймс Поттер
Джеймс Сириус Поттер
Флимонт Поттер
Лили Поттер
Патриция Рейкпик
Демельза Робинс
Джек Слоупер
Алисия Спиннет
Тобиас Стамп
Селина Сэпворфи
Эмили Тайлер
Кеннет Таулер
Дин Томас
Эмили Тэйлор
Артур Уизли
Билл Уизли
Джинни Уизли
Джордж Уизли
Молли Уизли
Перси Уизли
Рон Уизли
Фред Уизли
Чарли Уизли
Найджел Уолперт
Селестина Уорлок
Симус Финниган
Йенн Фредерикс
Викки Фробишер
Рубеус Хагрид
Джеффри Хупер
Полли Чэпмен
Astrix Alixan
Filemina Alchin
Euan Abercrombie
Sakura Akagi
Zakir Akram
Nick Alas
Christian Alexander
Brandon Angel
Jada Angela
Owen Anthony
Angelina Appleby
Oona Ballington
Pete Balsall
Allison Barnes
Concepta Battista
Katie Bell
Fiona Belmont
Kajol Bhatt
Betty Bickering
Hugh Biggs
Sally Birchgrove
Sirius Black
Mike Boon
Justine Britnell
Lavender Brown
Cadogan
Richard Carter
Stephen Challock
Polly Chapman
Jason Charmer
Liza Cherks
Nina Chibbar
Brian Cinderford
Iain Claverdon
Andrew Cleveley
Rachael Codnor
Angelica Cole
Lydia Cooden
Ritchie Coote
Ben Copper
Muldoon Cragg
Colin Creevey
Dennis Creevey
Winky Crockett
Lisa Cullen
Haley Dakota
Jennifer Dawn
Alison Denshaw
Mary Doyle
Albus Dumbledore
Fay Dunbar
Edward
Tracie Everson
Rosalyn Ewhurst
Natalie Fairbourne
Fat Lady
Seamus Finnigan
Terrence Fogarty
Louise Fontwell
Sam Fraddon
Hamish Frater
Riley Frazer
Yann Fredericks
Vicky Frobisher
Chris Garland
Ethan Gerard
Stephen Gould
Hermione Granger
Godric Gryffindor
Rubeus Hagrid
David Hamblin
Curt Hanger
Kelly Harborne
Ryan Henry
Natalie Holkham
Thelma Holmes
Geoffrey Hooper
Carl Hopkins
Lucy Hurst
Satoru Iida
Erica J.
Peter James
Ella Jo
Nandini Johar
Angelina Johnson
Peter Jones
Lee Jordan
Timothy Justin
Anjali Kapoor
Michael Karume
Kellah
Sage Kelleen
Kenneth Towler
Jae Kim
R. J. H. King
Andrew Kirke
Neville Longbottom
Aamir Loonat
Remus Lupin
Trinity Lynn
Mary Macdonald
Anita Macduff
Hisana Malachela
Daphne Maldon
Trev Mallory
Marauders
Alexis Marie
Gianna Grace Marie
Kenny Markham
Angus Matlock
Paul Mawdesley
Natalie McDonald
Joe McGee
M. G. McGonagall
Minerva McGonagall
Cormac McLaggen
Robin McTighe
Michael
Eloise Midgen
Nicholas de Mimsy-Porpington
Ruth Mina
Anna Mirfield
Raza Mohammad
Tatsuya Motoyama
Kieran Muirhead
Roderick Murphy
Edith Newton
Abigail Nicola
Amber Noel
Phelan Noel
David Nolton
Mallory Norden
Neil Nuts
Aiden O'Connor
Shelagh O'Dowd
Rionach O'Neal
Uric Oapley
Sean Ogbourne
Remy Olivier
Kate Olney
Steven Osterley
Andrew Owly
Thomas Paley
Julie Parkes
Parvati Patil
Jimmy Peakes
Peter Pettigrew
Adam Pickering
Podric Piles
Wayne Portchester
Fleamont Potter
Harry Potter
James Potter 
Lily J. Potter
Lily L. Potter
Sophia Prickett
Patricia Rakepick
Genevieve Ramsey
Neil Randall
Demelza Robins
Barry Rochester
Ashley Sanders
Selina Sapworthy
Andrew Saxby
Roderick Seaton
Jackson Sheppard
Kaori Shimizu
Chie Shinohara
Terry Skeres
Richard Sky
Jack Sloper
Alicia Spinnet
Charlie Stainforth
Melanie Stanmore
Stewart
