Стюарт Акерли
Аланнис
Деннис Алдермастон
Бадия Али
Миллисента Багнолд
Рэндольф Барроу
Маркус Белби
Мэнди Броклхерст
Брэдли
Терри Бут
Энтони Голдстейн
Хелен Долиш
Роджер Дэвис
Честер Дэвис
Дункан Инглби
Тулип Карасу
Эдди Кармайкл
Квиринус Квиррелл
Кандида Когтевран
Майкл Корнер
Стефан Корнфут
Пенелопа Кристал
Полумна Лавгуд
Сью Ли
Златопуст Локонс
Мораг МакДугал
Лоркан МакЛайрд
Плакса Миртл
Лаверна де Монморанси
Гаррик Олливандер
Падма Патил
Грант Пейдж
Орла Свирк
Стеббинс
Урик Странный
Джереми Стреттон
Джейсон Сэмюэлс
Сивилла Трелони
Лайза Турпин
Игнатия Уилдсмит
Талботт Уингер
Перпетуа Фанкорт
Филиус Флитвик
С Фосетт
Бэзил Фронсак
Роберт Хиллиард
Чжоу Чанг
Чэмберс
Андре Эгву
Мариэтта Эджком
Элиза
Памела Элтон
Roland Abberley
Stewart Ackerley
Jatin Agarkar
Dennis Aldermaston
Badeea Ali
Pamela Alton
Yutaka Amano
Scott Ancrum
Becky Arncliffe
Millicent Bagnold
Arjuna Balaji
Yvonne Bampton
Marcus Belby
Ethan Bexley
Trevor Birch
Terry Boot
Mandy Brocklehurst
Sheila Brooks
Randolph Burrow
Eddie Carmichael
Cho Chang
Penelope Clearwater
Hortense Cooper
Michael Corner
Loretta Cornhill
Daisy Corran
Chester Davies
Roger Davies
Helen Dawlish
Nanette Desford
Shruti Dev
Ananyo Dhillon
Nathaniel Douglas
Felicity Eastchurch
Marietta Edgecombe
Andre Egwu
Harriet Ellesmere
Hilary Erskine
Margaret Ettington
Perpetua Fancourt
Marcus Fenwick
Patrick Fincher
Filius Flitwick
Miranda Flockton
Basil Fronsac
Cordelia Gifford
Maria Glossop
Anthony Goldstein
Austin Guthrie
Noel Harwich
Christopher Hemsley
Susanna Hesleden
Robert Hilliard
Marcus Hitchin
Sanford Humberston
Jason Huntingdon
Shoma Ichikawa
Duncan Inglebee
Nola Johnston
Tomoko Kajiwara
Tulip Karasu
Andrea Kegworth
Sarah Kempston
Joan Kerridge
Danny Kershaw
Ashok Khanna
Humphrey Kilburn
Noreen Kirkby
Biko Kisawahi
Mark Latchingdon
Sue Li
Gilderoy Lockhart
Luna Lovegood
Xenophilius Lovegood
Roberta Lutterworth
Isobel MacDougal
Hugo Mattingley
Sterling McCubbin
Lorcan McLaird
Godfrey Midhurst
Elizabeth Mkapa
Phillip Montgomery
Laverne de Montmorency
Takashi Noda
Banga O'Deluga
Garrick Ollivander
Grant Page
Sherwood Partington
Padma Patil
Swati Pevekar
Orla Quirke
Quirinus Quirrell
Amina Qureshi
Asma Rahman
Latisha Randle
Helena Ravenclaw
Rowena Ravenclaw
Raymond
Rebecca
Yolanda Reedham
Maisy Reynolds
Hemani Roshan
Ophelia Rushden
Jason Samuels
Omar Shaw
Alannis Shepley
Kim Sheringham
Arman Shettigar
Justin Steele
Hazel Stickney
Geoffrey Stradbroke
Arnold Streeton
Jeremy Stretton
Lewis Thorverton
Sybill Trelawney
Sachin Tripathy
Miyuki Tsuji
Marcus Turner
Lisa Turpin
Uric the Oddball
Gerald Vickers
Myrtle Warren
Ignatia Wildsmith
Gerard Willerby
Talbott Winger
Aron Woodbridge
Nigel Wroxton
Mizuho Yoshii
